"상품 이름","카테고리","가격","링크"
"B.귀여운 아크릴 브로치 미니 배지 패션와펜 15종세트","핀뱃지","10,000원","https://www.coupang.com/vp/products/6304348131?itemId=13053083801&vendorItemId=86904789350&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=40&rank=40"
"ZCBV가성비갑 초대용량 귀여운 캐릭터 브로치 뱃지 모음 50세트","핀뱃지","19,000원","https://www.coupang.com/vp/products/7750308232?itemId=20874506187&vendorItemId=87941773842&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=41&rank=41"
"헤미쉬스타일 패션 뱃지 레트로 세트","핀뱃지","9,900원","https://www.coupang.com/vp/products/8609081570?itemId=24968230777&vendorItemId=91973858723&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=42&rank=42"
"ROBLOX 로블록스 프리미엄 핀뱃지 9종 풀세트 로블록스 굿즈 선물용(대형 58mm 개별 포장), 9개, 혼합색상","핀뱃지","12,900원","https://www.coupang.com/vp/products/9492985534?itemId=28274540828&vendorItemId=95227612624&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=43&rank=43"
"장송의 프리렌 원형 캔뱃지 브로치 핀버튼","핀뱃지","8,800원","https://www.coupang.com/vp/products/9568546060?itemId=28558153135&vendorItemId=95502805722&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=44&rank=44"
"추모뱃지 리본 핀뱃지 브로치 애도 캠페인 기념 행사","핀뱃지","340원","https://www.coupang.com/vp/products/8488952637?itemId=24569409682&vendorItemId=91581431062&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=45&rank=45"
"만들기자랑 그리기뱃지/브롯치 원형핀/만들기재료/캔버스천/칼라, 그리기뱃지","핀뱃지","130원","https://www.coupang.com/vp/products/6523503919?itemId=14462951902&vendorItemId=5274648236&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=46&rank=46"
"스마일브로치 패션브로치 스마일뺏지 친절사원뱃지 브","핀뱃지","430원","https://www.coupang.com/vp/products/6934029254?itemId=16789265531&vendorItemId=83970038320&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=47&rank=47"
"1942년 소련 대애국 훈장 영웅 리본 배지 핀 레닌 아래 컬렉션 선물, 02 buckle badge 47mm","핀뱃지","29,500원","https://www.coupang.com/vp/products/9491127479?itemId=28267402693&vendorItemId=95220573743&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=48&rank=48"
"가방뱃지 꽃무늬 악세사리 브로치","핀뱃지","420원","https://www.coupang.com/vp/products/7634484177?itemId=20269865674&vendorItemId=87357024252&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=49&rank=49"
